"x"	"y"	"z"	"alpha"	"spin"	"theta"	"v_incoming"	"w_ball"	"w_racket"	"x_ground"	"y_ground"
"1"	2	-4.12	0.875	30.6777971737268	-1	4	11.3793103448276	485.161905083805	53.448275862069	-9.69860646139525	2.82383125830649
"2"	2	-4.12	1	30.6777971737268	-1	2	11.3793103448276	265.880413725972	53.448275862069	-9.39767310334196	2.63762181433667
"3"	2	-4.12	1.125	30.6777971737268	-1	1	11.3793103448276	219.387878105044	53.448275862069	-9.27177986243629	2.57244752431118
"4"	2	-4.12	1.25	30.6777971737268	-1	4	11.3793103448276	400.672682933509	53.448275862069	-11.384142658556	3.81328915063116
"5"	2	-4.12	1.375	30.6777971737268	-1	0	11.3793103448276	414.468555338681	53.448275862069	-8.45007717882437	2.08717260469612
"6"	2	-4.12	1.5	30.6777971737268	-1	-1	11.3793103448276	209.499346558005	53.448275862069	-9.01856124969378	2.40934366079395
"7"	2	-4.12	0.75	26.2952547203372	-1	8	26.551724137931	393.321096245199	31.7241379310345	-11.475567519398	2.53419244668188
"8"	2	-4.12	0.875	26.2952547203372	-1	4	11.3793103448276	392.256218753755	53.448275862069	-10.612322047318	2.1092494940144
"9"	2	-4.12	1	26.2952547203372	-1	3	11.3793103448276	495.394348073751	53.448275862069	-9.72670029573939	1.66880612044351
"10"	2	-4.12	1.125	26.2952547203372	-1	3	11.3793103448276	466.850458830595	53.448275862069	-10.3041939441171	1.97003352411444
"11"	2	-4.12	1.25	26.2952547203372	-1	3	11.3793103448276	479.775735270232	53.448275862069	-10.7027258090256	2.15753792618516
"12"	2	-4.12	1.375	26.2952547203372	-1	0	11.3793103448276	205.505621619523	53.448275862069	-9.92426875817189	1.77317840039464
"13"	2	-4.12	1.5	26.2952547203372	-1	0	11.3793103448276	127.657283749431	53.448275862069	-11.1262025079137	2.37503138483018
"14"	2	-4.12	0.875	21.9127122669477	-1	4	11.3793103448276	433.423154614866	53.448275862069	-10.8439177495179	1.04058960458229
"15"	2	-4.12	1	21.9127122669477	-1	2	11.3793103448276	387.09831405431	53.448275862069	-9.62238051026914	0.549059482169715
"16"	2	-4.12	1.125	21.9127122669477	-1	1	11.3793103448276	458.96129142493	53.448275862069	-8.97844998963102	0.30020103923066
