"x"	"y"	"z"	"alpha"	"spin"	"theta"	"v_incoming"	"w_ball"	"w_racket"	"x_ground"	"y_ground"
"1"	2	-4.12	0.5	30.6777971737268	-1	25	7.24137931034483	500	8.27586206896552	-2.13446654512344	-1.66602027292697
"2"	2	-4.12	0.666666666666667	30.6777971737268	-1	25	8.44827586206896	500	0	-1.57813190591871	-1.9950275878473
"3"	2	-4.12	0.833333333333333	30.6777971737268	-1	20.5	8.44827586206896	500	0	-1.5141903994172	-2.03449132520188
"4"	2	-4.12	1	30.6777971737268	-1	22	6.03448275862069	500	5.51724137931035	-1.13683576286067	-2.26146605643328
"5"	2	-4.12	1.16666666666667	30.6777971737268	-1	17	6.03448275862069	500	5.51724137931035	-1.08983100406978	-2.28851152862469
"6"	2	-4.12	1.33333333333333	30.6777971737268	-1	15	6.03448275862069	500	5.51724137931035	-1.14704551086478	-2.25183754976852
"7"	2	-4.12	1.5	30.6777971737268	-1	15	6.03448275862069	500	5.51724137931035	-1.27660990464457	-2.17406029350167
"8"	2	-4.12	0.5	26.2952547203372	-1	25	7.24137931034483	500	8.27586206896552	-2.30980134645743	-1.98929655646955
"9"	2	-4.12	0.666666666666667	26.2952547203372	-1	24.5	8.44827586206896	500	0	-1.70399604779199	-2.29155469153519
"10"	2	-4.12	0.833333333333333	26.2952547203372	-1	20	8.44827586206896	500	0	-1.63475535755715	-2.32410015903919
"11"	2	-4.12	1	26.2952547203372	-1	21	6.03448275862069	500	5.51724137931035	-1.23257895308302	-2.5237153746213
"12"	2	-4.12	1.16666666666667	26.2952547203372	-1	16	6.03448275862069	500	5.51724137931035	-1.17910237993744	-2.54776466893421
"13"	2	-4.12	1.33333333333333	26.2952547203372	-1	15	6.03448275862069	500	5.51724137931035	-1.28050567880044	-2.49794089255571
"14"	2	-4.12	1.5	26.2952547203372	-1	15	6.03448275862069	500	5.51724137931035	-1.41556465017455	-2.43040966321104
"15"	2	-4.12	0.5	21.9127122669477	-1	25	7.24137931034483	500	8.27586206896552	-2.45993313282073	-2.32503284604688
"16"	2	-4.12	0.666666666666667	21.9127122669477	-1	24.5	8.44827586206896	500	0	-1.833024626753	-2.57966397554792
"17"	2	-4.12	0.833333333333333	21.9127122669477	-1	19.5	8.44827586206896	500	0	-1.7314843636443	-2.61989019902121
"18"	2	-4.12	1	21.9127122669477	-1	20	6.03448275862069	500	5.51724137931035	-1.30507110965166	-2.79075193055828
"19"	2	-4.12	1.16666666666667	21.9127122669477	-1	15	6.03448275862069	500	5.51724137931035	-1.2455152029591	-2.81516335395117
"20"	2	-4.12	1.33333333333333	21.9127122669477	-1	15	6.03448275862069	500	5.51724137931035	-1.39478198486222	-2.75352977230432
"21"	2	-4.12	1.5	21.9127122669477	-1	15	6.03448275862069	500	5.51724137931035	-1.53454573100593	-2.69663948149083
"22"	2	-4.12	0.5	17.5301698135581	-1	25	7.24137931034483	500	8.27586206896552	-2.58398395802623	-2.67126581062529
"23"	2	-4.12	0.666666666666667	17.5301698135581	-1	24.5	8.44827586206896	500	0	-1.9396383031964	-2.87678089326891
"24"	2	-4.12	0.833333333333333	17.5301698135581	-1	25	6.03448275862069	500	5.51724137931035	-1.43356131579535	-3.03542737549837
"25"	2	-4.12	1	17.5301698135581	-1	19.5	6.03448275862069	500	5.51724137931035	-1.37582593067973	-3.05220280003783
"26"	2	-4.12	1.16666666666667	17.5301698135581	-1	15	6.03448275862069	500	5.51724137931035	-1.33578759654754	-3.06685456693915
"27"	2	-4.12	1.33333333333333	17.5301698135581	-1	15	6.03448275862069	500	5.51724137931035	-1.48920615986069	-3.01710954695437
"28"	2	-4.12	1.5	17.5301698135581	-1	15	6.03448275862069	500	5.51724137931035	-1.63285736519417	-2.97119287980898
"29"	2	-4.12	0.5	13.1476273601686	-1	24.5	9.6551724137931	500	2.75862068965517	-2.81330896114715	-2.9943864209851
"30"	2	-4.12	0.666666666666667	13.1476273601686	-1	24.5	8.44827586206896	500	0	-2.02321361774032	-3.1811679534489
"31"	2	-4.12	0.833333333333333	13.1476273601686	-1	24.5	6.03448275862069	500	5.51724137931035	-1.48765386262728	-3.30568621041329
"32"	2	-4.12	1	13.1476273601686	-1	19.5	6.03448275862069	500	5.51724137931035	-1.44744055422859	-3.31363994237674
"33"	2	-4.12	1.16666666666667	13.1476273601686	-1	15	6.03448275862069	500	5.51724137931035	-1.40655284862842	-3.32470440256006
"34"	2	-4.12	1.33333333333333	13.1476273601686	-1	15	6.03448275862069	500	5.51724137931035	-1.56322602662926	-3.28713884499649
"35"	2	-4.12	1.5	13.1476273601686	-1	15	6.03448275862069	500	5.51724137931035	-1.70992464234573	-3.25246431469566
"36"	2	-4.12	0.5	8.76508490677907	-1	25	9.6551724137931	500	2.75862068965517	-2.92826958443936	-3.35926277621821
"37"	2	-4.12	0.666666666666667	8.76508490677907	-1	24.5	8.44827586206896	500	0	-2.08326183558371	-3.49104515023197
"38"	2	-4.12	0.833333333333333	8.76508490677907	-1	24.5	6.03448275862069	500	5.51724137931035	-1.53970861755799	-3.57446407685481
"39"	2	-4.12	1	8.76508490677907	-1	19	6.03448275862069	500	5.51724137931035	-1.47657630284935	-3.5839134386759
"40"	2	-4.12	1.16666666666667	8.76508490677907	-1	15	6.03448275862069	500	5.51724137931035	-1.45739713555553	-3.5872049970529
"41"	2	-4.12	1.33333333333333	8.76508490677907	-1	15	6.03448275862069	500	5.51724137931035	-1.61640872906614	-3.56203857916097
